Retirement_Age,Debt_Amount,Monthly_Savings,Loan_Default_Risk
60,2996.52,2378.49,0
66.4,4137.23,1538.92,1
58.5,19865.75,2434.8,1
49.8,16855.7,2677.82,1
67.3,7902.37,2206.72,0
67.3,9328.16,2938.4,0
49.2,37541.34,1613.11,1
57.3,3984.29,1377.67,1
69.7,15623.27,1110.64,1
59.6,6357.36,2748.02,0
69.6,6240.29,2327.18,0
69.7,30288.77,1972.21,1
62.6,21818.2,2139.98,1
84.1,21508.67,1437.26,1
82.2,38815.49,3222.88,0
70.6,8309.91,2064.61,0
75.1,,2054.7,0
61.9,5584.11,2362.88,0
74.1,11956.13,2240.5,0
79.1,6931.48,2111.94,0
50.3,9103.33,1604.76,1
67.3,16550.78,2235.73,0
64.3,3035.51,2941.01,0
79.2,99794.14,2672.71,1
70.4,2423.04,,0
63.9,1887.43,1744.39,0
76.5,32523.98,1505.2,1
61.2,20952.12,1937.11,1
71,17136.12,2027.86,1
67.9,17223.23,2547.1,0
71,7984.87,1153.77,1
46.5,2760.85,2764.78,0
65.1,8874.75,1921,1
75.6,3595.38,1786.56,0
56.8,26111.83,1493.95,1
77.2,6792.21,1172.57,1
62.9,3009.12,,0
84.6,5510.09,2036.66,0
78.3,13299.98,1355.02,1
63,4119.68,1352.46,1
57.6,3020.98,1832.11,1
63.3,10855.47,2834.51,0
66.2,10872.15,1870.2,1
68,4410.17,1248.43,1
79.8,4604.34,1877.13,0
72.2,10704.93,1863.64,0
69.6,1425.53,651.56,1
54.4,1496.74,1972.85,1
61.6,3421.61,1884.53,0
82.6,6272.08,2348.1,0
61.8,11767.41,2924.48,0
68.9,47592.36,2563.28,1
71.8,22678.93,1865.56,1
58.9,6688.02,1446.74,1
54.7,7920.27,3286.68,0
55.7,2433.21,2029.61,1
73.4,7925.05,2006.96,0
68.1,5730.8,1987.94,0
61.7,11935.38,2099.04,1
55.2,3002.87,1927.82,1
69.8,15111.57,1713.17,1
66.9,50985,1726.57,1
76.1,7111.64,1983.62,0
77,13122.11,1728.29,0
56.9,18549.03,1643.58,1
51.4,5006.72,2053.22,1
65.7,10603.2,1872.51,1
55,8226.46,2752,0
61.4,9110.76,674.52,1
71.5,3204.75,2545.75,0
61.4,8344.95,2623.04,0
49.6,14729.36,963.3,1
65.4,46229.45,1828.66,1
49.4,25619.91,1814.28,1
78.8,107346.69,1296.24,1
56.8,3226.6,1611.09,1
64.1,23081.46,1444.71,1
68,10097.17,2876.14,0
64.1,112169.18,2467.84,1
84.9,3071.87,2635.78,0
67.2,2958.19,2360.84,0
61.4,3947.07,1435.47,1
50.2,633.54,1737.74,1
70.2,4311.73,2244.69,0
73.1,3258.56,1388.94,0
70,9705.74,2356.5,0
55.8,12211.18,1879.84,1
61.7,76988.01,1812.59,1
70.3,25349.36,2355.48,1
59.9,4055.04,2222.13,0
64,2757.01,1819.52,0
55.3,14622.3,2579.66,1
72,1661.91,1459.47,0
68.3,72966.12,2307.97,1
68.9,33367.18,2296.55,1
79.6,4614.64,1845.23,0
62,1037.16,2163.07,0
62.4,41136.33,1374.44,1
64.9,7062.48,2462.01,0
67.3,35788.42,1907.55,1
79.2,1195.94,1738.64,0
69.2,3947.15,2524.5,0
68.4,8154.23,1647.83,1
73,8573.03,1295.77,1
66.6,4721.69,1221.69,1
61,17110.03,2303,1
46.1,2250.38,1359.79,1
63.3,6830.44,2877.4,0
62.4,9361.44,959.04,1
65.7,15022.83,2848.23,0
84.2,19033.16,2105.51,0
65.3,2101.55,1951.64,0
64.4,1285.71,1727.54,0
40.4,37541.87,2199.57,1
66.9,12073.6,1981.18,1
62,3300.46,2551.65,0
65.3,52124.08,2057.11,1
76.7,9309.68,2075.15,0
53.6,33361.46,1818.19,1
57.5,8786.94,1971.53,1
57.1,96076.26,2153.9,1
74.1,66596.61,1144.92,1
51,6010.38,1325.91,1
79,26000.87,2371.63,0
59.1,17578.84,2085.43,1
43.1,41871.38,1908.01,1
74.9,2545.52,2009.22,0
70.7,18458.16,2173.79,0
64,28857.04,1730.12,1
70,981.92,1610.85,0
80.5,1958.8,2097.92,0
64.3,701.29,1510.81,1
75.6,5864.73,2204.13,0
60.3,19169.02,1148.71,1
74.2,49159.65,2514.58,1
49.5,8856.56,2236.3,1
72.8,57201.69,2128.01,1
68.2,1546.7,2491.35,0
56.9,1049.37,2832.74,0
77.3,7580.56,2507.19,0
62.7,12847.17,1079.56,1
51.9,7791.33,1360.21,1
81.1,677.95,1687.59,0
63.2,7281.24,2013.05,0
62.4,1693.64,2258.83,0
57.2,18098.91,1637.13,1
77.4,12580.68,2093.38,0
78.2,2623.18,1622.31,0
59.8,4373.68,1694.24,1
62,2273.2,1296.67,1
62.5,7515.97,1538.38,1
61.5,25493.3,1324.16,1
71.8,2482.77,1512.06,0
62.7,14836.65,2526.82,0
62.1,4288.49,1525.3,1
72.1,3129.26,3316.19,0
46.3,7126.41,2246.66,1
60.3,2339.54,2092.42,0
76.9,4169.79,1570.82,0
58.4,1924.74,2350.15,0
74.7,85619.66,1712.18,1
57.1,8453.33,2061,1
53.4,3499.34,3280.04,0
73.2,10475.31,1951.97,0
55.4,7081.25,2574.64,0
60.9,6215.72,1648.41,1
56.8,16932.67,1982.51,1
46,20110.74,2885.4,1
67.5,4287.24,1686.52,0
72.5,4060.32,2906.22,0
73.9,5825.14,2353.88,0
73.2,511.68,1718.77,0
65.8,1315.24,2316.2,0
61.6,41783.18,2486.28,1
62.2,58335.22,2310.9,1
56.7,6009.86,1214.89,1
64.9,16185.46,1636.43,1
50.5,11772.25,1876.24,1
67.6,326001.4,1962.78,1
37.8,31054.22,2310.34,1
58.7,6950.01,2088.85,1
73.6,2574.35,1332.33,0
75.7,1178.81,2190.1,0
60.2,10343.94,2305.29,0
67.2,3269.46,2279.9,0
57.9,1470.41,2540.39,0
60.3,3729.81,2416.96,0
65.7,2213.08,2229.59,0
73.5,61363.47,1964.92,1
80.1,23341.02,1169.52,1
69.5,8025.93,2214.81,0
56.4,47855.1,2103.84,1
62.9,8891.42,2135.79,0
77.5,2882.63,1361.63,0
63.3,50400.12,1459.47,1
61.1,15470.53,2526.58,0
73.8,2333.92,1980.22,0
63.5,6448.44,2340.75,0
64.4,2833.47,2014.16,0
76.4,1541.7,2014.88,0
61.4,24622.43,2469.14,1
59.4,80121.54,1741.98,1
54.2,1512.8,2048.06,1
54.5,15923.69,1768.86,1
78.8,3711.64,1782.75,0
74.4,4516.31,1845.41,0
59.8,3980.36,2111.07,0
59.9,2873.28,1760.63,1
59.8,8588.9,2627.88,0
26.5,2989.5,1552.7,1
59.3,11209.85,1906.56,1
53.6,7629.02,1780.13,1
55.5,6083.06,2723.49,0
58.5,2726.91,2098.28,0
68.2,4055.68,2515.92,0
57.4,20059.73,1257.22,1
72.7,14781.04,2133.53,0
67.4,2507.23,2444.82,0
69.9,9128.88,2041.14,0
64.2,19963.57,2532.74,0
41.9,1093.04,1741.36,1
83.7,15553.36,2704.67,0
58.1,3658.66,3149.45,0
81.1,16070.14,1818.58,0
69.7,3242.46,1777.25,0
54.1,929.03,2726.69,0
64.4,1149.35,2789.79,0
75.8,8584.4,1738.57,0
72.2,11066.38,1789.91,0
58.2,2737.55,1859.11,1
72.3,17436.32,1327.77,1
62.8,1103.43,1540.67,1
64.5,7485.36,1497.93,1
71.5,1894.63,1616.1,0
43.6,3706.33,1982.66,1
58.7,8577.33,2117.11,1
84.7,2885.65,2775.25,0
63.1,5107.85,1500.82,1
71.6,27107.11,2492.16,1
56.5,4055.1,1893.01,1
72.9,22088.9,1975.27,1
66.1,2088.81,2337.41,0
60,15302.4,1438.64,1
56.3,45701.31,2191.2,1
77,417.39,2083.23,0
68.3,3114.19,2246.23,0
69.7,16195.47,2144.58,0
71.5,6350.86,3227.65,0
47.3,12649.53,1681.13,1
61,3925.38,1734.5,1
77.6,8990.36,1688.43,0
55.8,6722.31,1722.26,1
43.8,32903.64,1681.31,1
54.7,10996.2,2594.51,0
80.2,12150.47,2710.25,0
69.8,4943.1,1714.63,0
52.3,4513.7,1583.82,1
72.1,4821.93,2235.71,0
60.6,13008.3,1723.89,1
57.3,4889.37,2316.47,0
74.3,11472.75,2101.46,0
65.6,97780.55,1242.13,1
72.6,23048.35,2773.75,0
75.2,5479.51,2897.94,0
67.5,34250.51,1693.61,1
77.5,4965.7,1806.15,0
48.7,702.22,2142.93,1
79.3,2417.03,2167.23,0
69.4,858.38,2329.27,0
63.7,5314.44,3005.1,0
50.6,8284.17,1911.53,1
79.4,60580.28,1600.85,1
53.4,11995.81,1310.34,1
64.9,6229.67,1634.53,1
74.8,21922.89,1983.44,1
60.4,570.57,2897.28,0
63,10750.82,1741.19,1
71,20435.69,2111.89,1
64.3,1374.3,1991.79,0
68.9,31968.45,2594.2,1
63.9,12163.51,3263.47,0
58.4,4922.91,1734.57,1
49.1,17315.17,1755.28,1
77.4,123603.16,2522.08,1
43.7,10079.3,2340.95,1
84.5,10914.69,2923.35,0
66.5,4669.31,2291.96,0
59.1,2922.48,1820.35,1
62.2,21947.38,2295.33,1
71.2,2900.68,2554.35,0
67.1,8829.73,2410.24,0
69.9,4567.91,2253.64,0
70.9,14397.01,2533.34,0
56.5,12093.15,2584.65,0
61.4,28142.83,2691.08,1
71.9,4393.93,2324.35,0
56,5861.44,1916.44,1
61.9,2503.6,2073.36,0
56.9,4754.51,2603.25,0
58.7,12743.3,1591.53,1
